"","date_long","year","id_no","country","region","source","latitude","longitude","magnitude_body","magnitude_surface","depth","yield_lower","yield_upper","purpose","name","type"
"1",19450716,1945,45001,"USA","ALAMOGORDO","DOE",32.54,-105.57,0,0,-0.1,21,21,"WR","TRINITY","TOWER"
"2",19450805,1945,45002,"USA","HIROSHIMA","DOE",34.23,132.27,0,0,-0.6,15,15,"COMBAT","LITTLEBOY","AIRDROP"
"3",19450809,1945,45003,"USA","NAGASAKI","DOE",32.45,129.52,0,0,-0.6,21,21,"COMBAT","FATMAN","AIRDROP"
"4",19460630,1946,46001,"USA","BIKINI","DOE",11.35,165.2,0,0,-0.2,21,21,"WE","ABLE","AIRDROP"
"5",19460724,1946,46002,"USA","BIKINI","DOE",11.35,165.2,0,0,0.03,21,21,"WE","BAKER","UW"
"6",19480414,1948,48001,"USA","ENEWETAK","DOE",11.3,162.15,0,0,-0.08,37,37,"WR","X-RAY","TOWER"
"7",19480430,1948,48002,"USA","ENEWETAK","DOE",11.3,162.15,0,0,-0.08,49,49,"WR","YOKE","TOWER"
"8",19480514,1948,48003,"USA","ENEWETAK","DOE",11.3,162.15,0,0,-0.08,18,18,"WR","ZEBRA","TOWER"
"9",19490829,1949,49001,"USSR","SEMI KAZAKH","DOE",48,76,0,0,0,22,22,"WR",NA,"SURFACE"
"10",19510127,1951,51001,"USA","NTS","DOE",37,-116,0,0,-0.35,1,1,"WR","ABLE","AIRDROP"
"11",19510128,1951,51002,"USA","NTS","DOE",37,-116,0,0,-0.35,8,8,"WR","BAKER","AIRDROP"
"12",19510201,1951,51003,"USA","NTS","DOE",37,-116,0,0,-0.35,1,1,"WR","EASY","AIRDROP"
"13",19510202,1951,51004,"USA","NTS","DOE",37,-116,0,0,-0.4,8,8,"WR","BAKER2","AIRDROP"
"14",19510206,1951,51005,"USA","NTS","DOE",37,-116,0,0,-0.5,22,22,"WR","FOX","AIRDROP"
"15",19510407,1951,51006,"USA","ENEWETAK","DOE",11.3,162.15,0,0,-0.1,81,81,"WR","DOG","TOWER"
"16",19510420,1951,51007,"USA","ENEWETAK","DOE",11.3,162.15,0,0,-0.1,47,47,"WR","EASY","TOWER"
"17",19510508,1951,51008,"USA","ENEWETAK","DOE",11.3,162.15,0,0,-0.07,225,225,"WR","GEORGE","TOWER"
"18",19510524,1951,51009,"USA","ENEWETAK","DOE",11.3,162.15,0,0,-0.07,45.5,45.5,"WR","ITEM","TOWER"
"19",19510924,1951,51010,"USSR","SEMI KAZAKH","DOE",48,76,0,0,0,38,38,"WR",NA,"SURFACE"
"20",19511018,1951,51011,"USSR","SEMI KAZAKH","DOE",48,76,0,0,0,42,42,"WR",NA,"AIRDROP"
"21",19511022,1951,51012,"USA","NTS","DOE",37,-116,0,0,-0.03,0,0.1,"WR","ABLE","TOWER"
"22",19511028,1951,51013,"USA","NTS","DOE",37,-116,0,0,-0.4,3.5,3.5,"WR","BAKER","AIRDROP"
"23",19511030,1951,51014,"USA","NTS","DOE",37,-116,0,0,-0.4,14,14,"WR","CHARLIE","AIRDROP"
"24",19511101,1951,51015,"USA","NTS","DOE",37,-116,0,0,-0.5,21,21,"WR","DOG","AIRDROP"
"25",19511105,1951,51016,"USA","NTS","DOE",37,-116,0,0,-0.45,31,31,"WR","EASY","AIRDROP"
"26",19511119,1951,51017,"USA","NTS","DOE",37,-116,0,0,-0.001,1.2,1.2,"WE","SUGAR","SURFACE"
"27",19511129,1951,51018,"USA","NTS","DOE",37,-116,0,0,0.01,1.2,1.2,"WE","UNCLE","CRATER"
"28",19520401,1952,52001,"USA","NTS","DOE",37,-116,0,0,-0.25,1,1,"WE","ABLE","AIRDROP"
"29",19520415,1952,52002,"USA","NTS","DOE",37,-116,0,0,-0.35,1,1,"WE","BAKER","AIRDROP"
"30",19520422,1952,52003,"USA","NTS","DOE",37,-116,0,0,-1.15,31,31,"WR","CHARLIE","AIRDROP"
"31",19520501,1952,52004,"USA","NTS","DOE",37,-116,0,0,-0.35,19,19,"WR","DOG","AIRDROP"
"32",19520507,1952,52005,"USA","NTS","DOE",37,-116,0,0,-0.1,12,12,"WR","EASY","TOWER"
"33",19520525,1952,52006,"USA","NTS","DOE",37,-116,0,0,-0.1,11,11,"WR","FOX","TOWER"
"34",19520601,1952,52007,"USA","NTS","DOE",37,-116,0,0,-0.1,15,15,"WR","GEORGE","TOWER"
"35",19520605,1952,52008,"USA","NTS","DOE",37,-116,0,0,-0.1,14,14,"WR","HOW","TOWER"
"36",19521003,1952,52009,"UK","MONTEB AUSTR","DOE",-20.4,115.57,0,0,-0.001,25,25,"WE","HURRICANE","SHIP"
"37",19521031,1952,52010,"USA","ENEWETAK","DOE",11.3,162.15,0,0,-0.001,10400,10400,"WR","MIKE","SURFACE"
"38",19521115,1952,52011,"USA","ENEWETAK","DOE",11.3,162.15,0,0,-0.5,500,500,"WR","KING","AIRDROP"
"39",19530317,1953,53001,"USA","NTS","DOE",37,-116,0,0,-0.1,16,16,"WR","ANNIE","TOWER"
"40",19530324,1953,53002,"USA","NTS","DOE",37,-116,0,0,-0.1,24,24,"WR","NANCY","TOWER"
"41",19530331,1953,53003,"USA","NTS","DOE",37,-116,0,0,-0.1,0.2,0.2,"WR","RUTH","TOWER"
"42",19530406,1953,53004,"USA","NTS","DOE",37,-116,0,0,-2,11,11,"WR","DIXIE","AIRDROP"
"43",19530411,1953,53005,"USA","NTS","DOE",37,-116,0,0,-0.03,0.2,0.2,"WR","RAY","TOWER"
"44",19530418,1953,53006,"USA","NTS","DOE",37,-116,0,0,-0.1,23,23,"WR","BADGER","TOWER"
"45",19530425,1953,53007,"USA","NTS","DOE",37,-116,0,0,-0.1,43,43,"WR","SIMON","TOWER"
"46",19530508,1953,53008,"USA","NTS","DOE",37,-116,0,0,-0.8,27,27,"WE","ENCORE","AIRDROP"
"47",19530519,1953,53009,"USA","NTS","DOE",37,-116,0,0,-0.1,32,32,"WR","HARRY","TOWER"
"48",19530525,1953,53010,"USA","NTS","DOE",37,-116,0,0,-0.2,15,15,"WR","GRABLE","ATMOSPH"
"49",19530604,1953,53011,"USA","NTS","DOE",37,-116,0,0,-0.4,61,61,"WR","CLIMAX","AIRDROP"
"50",19530812,1953,53012,"USSR","SEMI KAZAKH","DOE",50,78,0,0,0,400,400,"WR",NA,"SURFACE"
"51",19530823,1953,53013,"USSR","SEMI KAZAKH","DOE",50,78,0,0,0,28,28,"WR",NA,"ATMOSPH"
"52",19530903,1953,53014,"USSR","SEMI KAZAKH","MTM",50,78,0,0,0,5.8,5.8,"WR",NA,"ATMOSPH"
"53",19530908,1953,53015,"USSR","SEMI KAZAKH","MTM",50,78,0,0,0,1.6,1.6,"WR",NA,"ATMOSPH"
"54",19530910,1953,53016,"USSR","SEMI KAZAKH","MTM",50,78,0,0,0,4.9,4.9,"WR",NA,"ATMOSPH"
"55",19531014,1953,53017,"UK","EMU AUSTR","DOE",-28.7,132.35,0,0,0,10,10,"WR","TOTEM:1","TOWER"
"56",19531026,1953,53018,"UK","EMU AUSTR","DOE",-28.7,132.35,0,0,0,8,8,"WR","TOTEM:2","TOWER"
"57",19540228,1954,54001,"USA","BIKINI","DOE",11.35,165.2,0,0,-0.001,15000,15000,"WR","BRAVO","SURFACE"
"58",19540326,1954,54002,"USA","BIKINI","DOE",11.35,165.2,0,0,-0.001,11000,11000,"WR","ROMEO","BARGE"
"59",19540406,1954,54003,"USA","BIKINI","DOE",11.35,165.2,0,0,-0.001,110,110,"WR","KOON","SURFACE"
"60",19540425,1954,54004,"USA","BIKINI","DOE",11.35,165.2,0,0,-0.001,6900,6900,"WR","UNION","BARGE"
"61",19540504,1954,54005,"USA","BIKINI","DOE",11.35,165.2,0,0,-0.001,13500,13500,"WR","YANKEE","BARGE"
"62",19540513,1954,54006,"USA","ENEWETAK","DOE",11.3,162.15,0,0,-0.001,1690,1690,"WR","NECTAR","BARGE"
"63",19540914,1954,54007,"USSR","ORENBG RUSS","DOE",52,55,0,0,0,40,40,"ME",NA,"ATMOSPH"
"64",19540929,1954,54008,"USSR","SEMI KAZAKH","MTM",50,78,0,0,0,0.2,0.2,"WR",NA,"ATMOSPH"
"65",19541001,1954,54009,"USSR","SEMI KAZAKH","MTM",50,78,0,0,0,0.03,0.03,"WR",NA,"ATMOSPH"
"66",19541003,1954,54010,"USSR","SEMI KAZAKH","MTM",50,78,0,0,0,2,2,"WR",NA,"ATMOSPH"
"67",19541005,1954,54011,"USSR","SEMI KAZAKH","MTM",50,78,0,0,0,4,4,"WR",NA,"SURFACE"
"68",19541008,1954,54012,"USSR","SEMI KAZAKH","MTM",50,78,0,0,0,0.8,0.8,"WR",NA,"ATMOSPH"
"69",19541019,1954,54013,"USSR","SEMI KAZAKH","MTM",50,78,0,0,0,0,0.001,"WR",NA,"SURFACE"
"70",19541023,1954,54014,"USSR","SEMI KAZAKH","MTM",50,78,0,0,0,62,62,"WR",NA,"ATMOSPH"
"71",19541026,1954,54015,"USSR","SEMI KAZAKH","DOE",50,78,0,0,0,2.8,2.8,"WR",NA,"ATMOSPH"
"72",19541030,1954,54016,"USSR","SEMI KAZAKH","MTM",50,78,0,0,0,10,10,"WR",NA,"SURFACE"
"73",19550218,1955,55001,"USA","NTS","DOE",37,-116,0,0,-0.25,1,1,"WE","WASP","AIRDROP"
"74",19550222,1955,55002,"USA","NTS","DOE",37,-116,0,0,-0.1,2,2,"WR","MOTH","TOWER"
"75",19550301,1955,55003,"USA","NTS","DOE",37,-116,0,0,-0.1,7,7,"WR","TESLA","TOWER"
"76",19550307,1955,55004,"USA","NTS","DOE",37,-116,0,0,-0.2,43,43,"WR","TURK","TOWER"
"77",19550312,1955,55005,"USA","NTS","DOE",37,-116,0,0,-0.1,4,4,"WR","HORNET","TOWER"
"78",19550322,1955,55006,"USA","NTS","DOE",37,-116,0,0,-0.2,8,8,"WR","BEE","TOWER"
"79",19550323,1955,55007,"USA","NTS","DOE",37,-116,0,0,0.02,1,1,"WE","ESS","CRATER"
"80",19550329,1955,55008,"USA","NTS","DOE",37,-116,0,0,-0.2,14,14,"WR","APPLE :1","TOWER"
"81",19550329,1955,55009,"USA","NTS","DOE",37,-116,0,0,-0.25,3,3,"WR","WASP PRIME","AIRDROP"
"82",19550406,1955,55010,"USA","NTS","DOE",37,-116,0,0,-12,3,3,"WE","HA","AIRDROP"
"83",19550409,1955,55011,"USA","NTS","DOE",37,-116,0,0,-0.1,2,2,"WR","POST","TOWER"
"84",19550415,1955,55012,"USA","NTS","DOE",37,-116,0,0,-0.001,22,22,"WE","MET","TOWER"
"85",19550505,1955,55013,"USA","NTS","DOE",37,-116,0,0,-0.2,29,29,"WR","APPLE:2","TOWER"
"86",19550514,1955,55014,"USA","OFFUSWCOAST","DOE",29,-126,0,0,0,30,30,"WE","WIGWAM","UW"
"87",19550515,1955,55015,"USA","NTS","DOE",37,-116,0,0,-0.2,28,28,"WR","ZUCCHINI","TOWER"
"88",19550729,1955,55016,"USSR","SEMI KAZAKH","MTM",50,78,0,0,0,1.3,1.3,"WR",NA,"SURFACE"
"89",19550802,1955,55017,"USSR","SEMI KAZAKH","DOE",50,78,0,0,0,12,12,"WR",NA,"SURFACE"
"90",19550805,1955,55018,"USSR","SEMI KAZAKH","MTM",50,78,0,0,0,1.2,1.2,"WR",NA,"SURFACE"
"91",19550921,1955,55019,"USSR","NZ RUSS","DOE",73,55,0,0,0,3.5,3.5,"WE",NA,"UW"
"92",19551101,1955,55022,"USA","NTS","DOE",37,-116,0,0,0,0,0,"SE","PROJECT 56:1","SURFACE"
"93",19551103,1955,55023,"USA","NTS","DOE",37,-116,0,0,0,0,0,"SE","PROJECT 56:2","SURFACE"
"94",19551105,1955,55024,"USA","NTS","DOE",37,-116,0,0,0,0,0,"SE","PROJECT 56:3","SURFACE"
"95",19551106,1955,55020,"USSR","SEMI KAZAKH","DOE",50,78,0,0,0,250,250,"WR",NA,"ATMOSPH"
"96",19551122,1955,55021,"USSR","SEMI KAZAKH","DOE",50,78,0,0,0,1600,1600,"WR",NA,"ATMOSPH"
"97",19560118,1956,56001,"USA","NTS","DOE",37,-116,0,0,-0.001,0,20,"SE","PROJECT 56:4","SURFACE"
"98",19560202,1956,56002,"USSR","KAZAKH","MTM",46,61,0,0,0,0.3,0.3,"WE",NA,"SURFACE"
"99",19560316,1956,56003,"USSR","SEMI KAZAKH","DOE",50,78,0,0,0,14,14,"WR",NA,"SURFACE"
"100",19560325,1956,56004,"USSR","SEMI KAZAKH","DOE",50,78,0,0,0,5.5,5.5,"WR",NA,"SURFACE"
"101",19560504,1956,56005,"USA","ENEWETAK","DOE",11.3,162.15,0,0,-0.001,40,40,"WR","LACROSSE","SURFACE"
"102",19560516,1956,56006,"UK","MONTEB AUSTR","DOE",-20.23,115.55,0,0,0,15,15,"WR","MOSAIC:Gl","TOWER"
"103",19560520,1956,56007,"USA","BIKINI","DOE",11.35,165.2,0,0,-1.5,3800,3800,"WR","CHEROKEE","AIRDROP"
"104",19560527,1956,56008,"USA","BIKINI","DOE",11.35,165.2,0,0,-0.001,3500,3500,"WR","ZUNI","SURFACE"
"105",19560527,1956,56009,"USA","ENEWETAK","DOE",11.3,162.15,0,0,0,0.19,0.19,"WR","YUMA","TOWER"
"106",19560530,1956,56010,"USA","ENEWETAK","DOE",11.3,162.15,0,0,-0.1,14.9,14.9,"WR","ERIE","TOWER"
"107",19560606,1956,56011,"USA","ENEWETAK","DOE",11.3,162.15,0,0,-0.001,13.7,13.7,"WR","SEMINOLE","SURFACE"
"108",19560611,1956,56012,"USA","BIKINI","DOE",11.35,165.2,0,0,-0.001,365,365,"WR","FLATHEAD","BARGE"
"109",19560611,1956,56013,"USA","ENEWETAK","DOE",11.3,162.15,0,0,-0.1,8,8,"WR","BLACKFOOT","TOWER"
"110",19560613,1956,56014,"USA","ENEWETAK","DOE",11.3,162.15,0,0,0,1.49,1.49,"WR","KICKAPOO","TOWER"
"111",19560616,1956,56015,"USA","ENEWETAK","DOE",11.3,162.15,0,0,-0.2,1.7,1.7,"WR","OSAGE","AIRDROP"
"112",19560619,1956,56016,"UK","MONTEB AUSTR","DOE",-20.4,115.53,0,0,0,60,60,"WR","MOSAIC:G2","TOWER"
"113",19560621,1956,56017,"USA","ENEWETAK","DOE",11.3,162.15,0,0,0,15.2,15.2,"WR","INCA","TOWER"
"114",19560625,1956,56018,"USA","BIKINI","DOE",11.35,165.2,0,0,-0.001,1100,1100,"WR","DAKOTA","BARGE"
"115",19560702,1956,56019,"USA","ENEWETAK","DOE",11.3,162.15,0,0,0,360,360,"WR","MOHAWK","TOWER"
"116",19560708,1956,56020,"USA","ENEWETAK","DOE",11.3,162.15,0,0,-0.001,1850,1850,"WR","APACHE","BARGE"
"117",19560710,1956,56021,"USA","BIKINI","DOE",11.35,165.2,0,0,-0.001,4500,4500,"WR","NAVAJO","BARGE"
"118",19560720,1956,56022,"USA","BIKINI","DOE",11.35,165.2,0,0,-0.001,5000,5000,"WR","TEWA","BARGE"
"119",19560721,1956,56023,"USA","ENEWETAK","DOE",11.3,162.15,0,0,-0.001,250,250,"WR","HURON","BARGE"
"120",19560824,1956,56024,"USSR","SEMI KAZAKH","DOE",50,78,0,0,0,27,27,"WR",NA,"SURFACE"
"121",19560830,1956,56025,"USSR","SEMI KAZAKH","DOE",50,78,0,0,0,900,900,"WR",NA,"ATMOSPH"
"122",19560902,1956,56026,"USSR","SEMI KAZAKH","DOE",50,78,0,0,0,51,51,"WR",NA,"ATMOSPH"
"123",19560910,1956,56027,"USSR","SEMI KAZAKH","DOE",50,78,0,0,0,38,38,"WR",NA,"ATMOSPH"
"124",19560927,1956,56028,"UK","MARALI AUSTR","DOE",-30,131,0,0,0,15,15,"WR","BUFFALO: Rl","TOWER"
"125",19561004,1956,56029,"UK","MARALI AUSTR","DOE",-30,131,0,0,-0.001,1.5,1.5,"WE","BUFFALO:R2","SURFACE"
"126",19561011,1956,56030,"UK","MARALI AUSTR","DOE",-30,131,0,0,0,3,3,"WR","BUFFALO: R3","AIRDROP"
"127",19561022,1956,56031,"UK","MARALI AUSTR","DOE",-30,131,0,0,0,10,10,"WR","BUFFALO:R4","TOWER"
"128",19561117,1956,56032,"USSR","SEMI KAZAKH","DOE",50,78,0,0,0,900,900,"WR",NA,"ATMOSPH"
"129",19561214,1956,56033,"USSR","SEMI KAZAKH","MTM",50,78,0,0,0,40,40,"WR",NA,"ATMOSPH"
"130",19570119,1957,57001,"USSR","MTR RUSS","DOE",48,46,0,0,0,10,10,"WE",NA,"ATMOSPH"
"131",19570308,1957,57002,"USSR","SEMI KAZAKH","DOE",50,78,0,0,0,19,19,"WR",NA,"ATMOSPH"
"132",19570403,1957,57003,"USSR","SEMI KAZAKH","DOE",50,78,0,0,0,42,42,"WR",NA,"ATMOSPH"
"133",19570406,1957,57004,"USSR","SEMI KAZAKH","DOE",50,78,0,0,0,57,57,"WR",NA,"ATMOSPH"
"134",19570410,1957,57005,"USSR","SEMI KAZAKH","DOE",50,78,0,0,0,680,680,"WR",NA,"ATMOSPH"
"135",19570412,1957,57006,"USSR","SEMI KAZAKH","DOE",50,78,0,0,0,22,22,"WR",NA,"ATMOSPH"
"136",19570416,1957,57007,"USSR","SEMI KAZAKH","DOE",50,78,0,0,0,320,320,"WR",NA,"ATMOSPH"
"137",19570424,1957,57053,"USA","MELLIS NV","DOE",37,-115,0,0,0,0,0,"SE","PROJECT 57:1","SURFACE"
"138",19570515,1957,57008,"UK","MALDEN IS","DOE",-4,-155,0,0,0,300,300,"WR","GRAPPLE:1","AIRDROP"
"139",19570528,1957,57009,"USA","NTS","DOE",37,-116,0,0,-0.2,12,12,"WR","BOLTZMANN","TOWER"
